,parties,p_names,file_list
0,SPD,Sanae Abdi,
1,SPD,Adis Ahmetovic,
2,SPD,Reem Alabali-Radovan,
3,SPD,Dagmar Andres,
4,SPD,Niels Annen,
5,SPD,Johannes Arlt,
6,SPD,Heike Baehrens,
7,SPD,Ulrike Bahr,
8,SPD,Daniel Baldy,
9,SPD,Nezahat Baradari,
10,SPD,Sören Bartol,
11,SPD,Bärbel Bas,
12,SPD,Dr. Holger Becker,
13,SPD,Jürgen Berghahn,
14,SPD,Bengt Bergt,
15,SPD,Jakob Blankenburg,
16,SPD,Leni Breymaier,
17,SPD,Katrin Budde,
18,SPD,Isabel Cademartori Dujisin,
19,SPD,Dr. Lars Castellucci,
20,SPD,Jürgen Coße,
21,SPD,Bernhard Daldrup,
22,SPD,Hakan Demir,
23,SPD,Dr. Karamba Diaby,
24,SPD,Martin Diedenhofen,
25,SPD,Jan Dieren,
26,SPD,Esther Dilcher,
27,SPD,Sabine Dittmar,
28,SPD,Felix Döring,
29,SPD,Falko Droßmann,
30,SPD,Axel Echeverria,
31,SPD,Sonja Eichwede,
32,SPD,Heike Engelhardt,
33,SPD,Dr. Wiebke Esdar,
34,SPD,Saskia Esken,
35,SPD,Yasmin Fahimi,
36,SPD,Ariane Fäscher,
37,SPD,Dr. Johannes Fechner,
38,SPD,Sebastian Fiedler,
39,SPD,Dr. Edgar Franke,
40,SPD,Fabian Funke,
41,SPD,Manuel Gava,
42,SPD,Michael Gerdes,
43,SPD,Martin Gerster,
44,SPD,Angelika Glöckner,
45,SPD,Timon Gremmels,
46,SPD,Kerstin Griese,
47,SPD,Uli Grötsch,
48,SPD,Bettina Hagedorn,
49,SPD,Rita Hagl-Kehl,
50,SPD,Metin Hakverdi,
51,SPD,Sebastian Hartmann,
52,SPD,Dirk Heidenblut,
53,SPD,Hubertus Heil (Peine),
54,SPD,Frauke Heiligenstadt,
55,SPD,Gabriela Heinrich,
56,SPD,Wolfgang Hellmich,
57,SPD,Anke Hennig,
58,SPD,Nadine Heselhaus,
59,SPD,Thomas Hitschler,
60,SPD,Jasmina Hostert,
61,SPD,Verena Hubertz,
62,SPD,Markus Hümpfer,
63,SPD,Frank Junge,
64,SPD,Josip Juratovic,
65,SPD,Oliver Kaczmarek,
66,SPD,Elisabeth Kaiser,
67,SPD,Macit Karaahmetoglu,
68,SPD,Carlos Kasper,
69,SPD,Anna Kassautzki,
70,SPD,Gabriele Katzmarek,
71,SPD,Rainer Johannes Keller,
72,SPD,Dr. Franziska Kersten,
73,SPD,Cansel Kiziltepe,
74,SPD,Helmut Kleebank,
75,SPD,Dr. Kristian Klinck,
76,SPD,Lars Klingbeil,
77,SPD,Annika Klose,
78,SPD,Tim Klüssendorf,
79,SPD,Dr. Bärbel Kofler,
80,SPD,Simona Koß,
81,SPD,Anette Kramme,
82,SPD,Dunja Kreiser,
83,SPD,Martin Kröber,
84,SPD,Kevin Kühnert,
85,SPD,Sarah Lahrkamp,
86,SPD,Andreas Larem,
87,SPD,Dr. Karl Lauterbach,
88,SPD,Sylvia Lehmann,
89,SPD,Kevin Leiser,
90,SPD,Luiza Licina-Bode,
91,SPD,Esra Limbacher,
92,SPD,Helge Lindh,
93,SPD,Bettina Lugk,
94,SPD,Heiko Maas,
95,SPD,Dr. Tanja Machalet,
96,SPD,Isabel Mackensen-Geis,
97,SPD,Erik von Malottki,
98,SPD,Holger Mann,
99,SPD,Kaweh Mansoori,
100,SPD,Dr. Zanda Martens,
101,SPD,Dorothee Martin,
102,SPD,Parsa Marvi,
103,SPD,Franziska Mascheck,
104,SPD,Katja Mast,
105,SPD,Andreas Mehltretter,
106,SPD,Takis Mehmet Ali,
107,SPD,Robin Mesarosch,
108,SPD,Kathrin Michel,
109,SPD,Dr. Matthias Miersch,
110,SPD,Matthias David Mieves,
111,SPD,Susanne Mittag,
112,SPD,Falko Mohrs,
113,SPD,Claudia Moll,
114,SPD,Siemtje Möller,
115,SPD,Bettina Müller,
116,SPD,Michael Müller,
117,SPD,Detlef Müller (Chemnitz),
118,SPD,Michelle Müntefering,
119,SPD,Dr. Rolf Mützenich,
120,SPD,Rasha Nasr,
121,SPD,Brian Nickholz,
122,SPD,Dietmar Nietan,
123,SPD,Jörg Nürnberger,
124,SPD,Lennard Oehl,
125,SPD,Josephine Ortleb,
126,SPD,Mahmut Özdemir (Duisburg),
127,SPD,Aydan Özoguz,
128,SPD,Dr. Christos Pantazis,
129,SPD,Wiebke Papenbrock,
130,SPD,Mathias Papendieck,
131,SPD,Natalie Pawlik,
132,SPD,Jens Peick,
133,SPD,Christian Petry,
134,SPD,Dr. Andreas Philippi,
135,SPD,Jan Plobner,
136,SPD,Sabine Poschmann,
137,SPD,Achim Post (Minden),
138,SPD,Ye-One Rhie,
139,SPD,Andreas Rimkus,
140,SPD,Sönke Rix,
141,SPD,Dennis Rohde,
142,SPD,Sebastian Roloff,
143,SPD,Dr. Martin Rosemann,
144,SPD,Jessica Rosenthal,
145,SPD,Michael Roth (Heringen),
146,SPD,Dr. Thorsten Rudolph,
147,SPD,Tina Rudolph,
148,SPD,Bernd Rützel,
149,SPD,Sarah Ryglewski,
150,SPD,Johann Saathoff,
151,SPD,Ingo Schäfer,
152,SPD,Axel Schäfer (Bochum),
153,SPD,Rebecca Schamber,
154,SPD,Johannes Schätzl,
155,SPD,Dr. Nina Scheer,
156,SPD,Marianne Schieder,
157,SPD,Udo Schiefner,
