25,24,time,mNr
1.231258,-0.835416,1731489942581600,20
-0.158872,-1.609704,1731489942582000,20
-0.953232,-1.650456,1731489942582400,20
-0.278026,-0.835416,1731489942582800,20
-0.59577,-0.71316,1731489942583200,20
-0.119154,-1.487448,1731489942583600,20
-1.19154,-1.446696,1731489942584000,20
-1.628438,-0.71316,1731489942584400,20
-1.112104,-0.10188,1731489942584800,20
-0.436898,-0.468648,1731489942585200,20
-0.556052,0.794664,1731489942585600,20
-1.549002,-0.427896,1731489942586000,20
-1.906464,0.346392,1731489942586400,20
0.039718,0.264888,1731489942586800,20
-0.39718,-0.264888,1731489942587200,20
-0.079436,0.794664,1731489942587600,20
-0.556052,0.672408,1731489942588000,20
-0.476616,0.835416,1731489942588400,20
-0.158872,1.487448,1731489942588800,20
0.635488,0.550152,1731489942589200,20
1.350412,0.957672,1731489942589600,20
1.19154,0.183384,1731489942590000,20
0.556052,-0.061128,1731489942590400,20
1.072386,0.91692,1731489942590800,20
1.469566,0.224136,1731489942591200,20
1.231258,0.387144,1731489942591600,20
0.516334,-0.264888,1731489942592000,20
0.834078,0.346392,1731489942592400,20
0.516334,0.835416,1731489942592800,20
0.714924,-0.672408,1731489942593200,20
1.310694,-0.876168,1731489942593600,20
-0.119154,-0.957672,1731489942594000,20
-0.317744,-0.753912,1731489942594400,20
0.278026,-0.753912,1731489942594800,20
-0.516334,-0.183384,1731489942595200,20
0.317744,-0.264888,1731489942595600,20
-1.072386,-1.568952,1731489942596000,20
-1.509284,0.142632,1731489942596400,20
-0.834078,-0.5094,1731489942596800,20
-0.913514,-0.91692,1731489942597200,20
0.039718,-0.30564,1731489942597600,20
-2.025618,-0.061128,1731489942598000,20
-1.78731,0.061128,1731489942598400,20
-1.072386,0.71316,1731489942598800,20
-0.39718,0.590904,1731489942599200,20
0.119154,0.753912,1731489942599600,20
-0.953232,0.346392,1731489942600000,20
-1.151822,0.142632,1731489942600400,20
0.079436,0.998424,1731489942600800,20
0.317744,0.387144,1731489942601200,20
0.79436,0.631656,1731489942601600,20
-0.317744,0.91692,1731489942602000,20
0.278026,1.446696,1731489942602400,20
0.476616,0.142632,1731489942602800,20
1.350412,0.876168,1731489942603200,20
1.310694,-0.550152,1731489942603600,20
0.953232,0.672408,1731489942604000,20
-0.476616,0.468648,1731489942604400,20
1.032668,0.020376,1731489942604800,20
1.072386,-0.876168,1731489942605200,20
1.707874,-1.039176,1731489942605600,20
0.675206,-0.468648,1731489942606000,20
0.119154,-1.079928,1731489942606400,20
0.913514,-1.568952,1731489942606800,20
-0.635488,-0.346392,1731489942607200,20
0.913514,-0.427896,1731489942607600,20
-0.436898,-0.998424,1731489942608000,20
-1.231258,-1.446696,1731489942608400,20
0.039718,-1.73196,1731489942608800,20
-1.112104,-0.957672,1731489942609200,20
-0.357462,-0.061128,1731489942609600,20
-0.873796,-0.183384,1731489942610000,20
-1.747592,-0.590904,1731489942610400,20
-1.350412,-0.224136,1731489942610800,20
-1.032668,-0.10188,1731489942611200,20
-0.913514,0.550152,1731489942611600,20
-0.436898,0.71316,1731489942612000,20
-1.151822,-0.5094,1731489942612400,20
-0.953232,0.835416,1731489942612800,20
0.0,-0.142632,1731489942613200,20
0.436898,0.061128,1731489942613600,20
-1.151822,0.794664,1731489942614000,20
-0.119154,0.957672,1731489942614400,20
0.158872,1.242936,1731489942614800,20
1.231258,1.650456,1731489942615200,20
1.151822,0.998424,1731489942615600,20
0.357462,0.387144,1731489942616000,20
1.151822,-0.10188,1731489942616400,20
0.516334,0.142632,1731489942616800,20
0.873796,0.427896,1731489942617200,20
1.112104,0.183384,1731489942617600,20
0.0,0.30564,1731489942618000,20
0.079436,-0.183384,1731489942618400,20
0.873796,-0.631656,1731489942618800,20
0.516334,-0.224136,1731489942619200,20
1.151822,0.183384,1731489942619600,20
0.278026,-0.5094,1731489942620000,20
-0.675206,-1.283688,1731489942620400,20
-0.556052,-0.876168,1731489942620800,20
-0.436898,-1.039176,1731489942621200,20
0.436898,-0.387144,1731489942621600,20
-1.429848,-0.346392,1731489942622000,20
-1.231258,-1.568952,1731489942622400,20
-0.436898,0.387144,1731489942622800,20
-0.238308,0.346392,1731489942623200,20
-1.469566,-0.468648,1731489942623600,20
-0.834078,0.020376,1731489942624000,20
-1.906464,-0.998424,1731489942624400,20
-1.469566,0.30564,1731489942624800,20
-0.317744,-0.224136,1731489942625200,20
0.19859,0.631656,1731489942625600,20
-1.350412,0.631656,1731489942626000,20
-1.549002,0.835416,1731489942626400,20
-0.714924,0.590904,1731489942626800,20
0.476616,1.609704,1731489942627200,20
0.79436,1.242936,1731489942627600,20
0.119154,0.183384,1731489942628000,20
0.714924,-0.020376,1731489942628400,20
0.436898,0.91692,1731489942628800,20
0.675206,0.71316,1731489942629200,20
2.025618,0.631656,1731489942629600,20
0.913514,0.10188,1731489942630000,20
0.556052,1.161432,1731489942630400,20
0.317744,-0.183384,1731489942630800,20
1.707874,-0.346392,1731489942631200,20
0.913514,0.264888,1731489942631600,20
0.556052,-0.71316,1731489942632000,20
0.39718,-0.794664,1731489942632400,20
-0.476616,-0.142632,1731489942632800,20
0.675206,-0.387144,1731489942633200,20
-0.19859,-0.753912,1731489942633600,20
-0.436898,-0.957672,1731489942634000,20
-0.039718,-0.753912,1731489942634400,20
-0.039718,-0.876168,1731489942634800,20
-0.238308,-0.876168,1731489942635200,20
-0.119154,-0.020376,1731489942635600,20
-0.278026,-0.468648,1731489942636000,20
-0.317744,-0.30564,1731489942636400,20
-1.350412,0.387144,1731489942636800,20
-0.19859,-0.183384,1731489942637200,20
