time,Bm X,Bm Y
1642489200000.4001,0.251872,0.505504
1642489200000.7998,-0.251872,0.47391
1642489200001.2,0.188904,0.126376
1642489200001.6,0.346324,0.252752
1642489200002.0,-0.062968,-0.78985
1642489200002.4,0.188904,0.537098
1642489200002.8,0.251872,0.221158
1642489200003.2,0.724132,0.0
1642489200003.5999,-0.503744,0.15797
1642489200004.0,0.503744,0.758256
1642489200004.4,-0.094452,-0.347534
1642489200004.8,-0.031484,0.063188
1642489200005.2,-0.62968,-0.63188
1642489200005.6,0.031484,-0.884632
1642489200006.0,-0.062968,0.505504
1642489200006.4001,0.566712,-0.252752
1642489200006.8,-0.094452,-0.189564
1642489200007.2,-0.15742,0.063188
1642489200007.6,-0.094452,-0.410722
1642489200008.0,0.15742,-0.63188
1642489200008.4,-0.15742,-0.31594
1642489200008.8,0.31484,0.600286
1642489200009.2002,-0.031484,-0.853038
1642489200009.5999,0.47226,-0.47391
1642489200010.0,0.220388,0.031594
1642489200010.4001,-0.31484,-0.758256
1642489200010.7998,-0.251872,-0.347534
1642489200011.2,0.503744,-0.221158
1642489200011.6,-0.31484,0.094782
1642489200012.0,-0.47226,-0.063188
1642489200012.4,0.283356,-0.031594
1642489200012.8,-0.283356,-0.126376
1642489200013.2,0.440776,0.031594
1642489200013.6,-0.377808,-0.505504
1642489200014.0,0.346324,0.15797
1642489200014.4,0.31484,0.410722
1642489200014.8,0.251872,-0.252752
1642489200015.2,0.031484,0.189564
1642489200015.5999,0.094452,0.0
1642489200016.0,0.346324,0.126376
1642489200016.4001,0.31484,-0.284346
1642489200016.7998,-0.062968,-0.189564
1642489200017.2,0.125936,0.347534
1642489200017.6,-0.094452,0.094782
1642489200018.0,-0.503744,-0.252752
1642489200018.4,0.220388,-0.410722
1642489200018.8,0.976004,-0.31594
1642489200019.2002,-0.15742,-0.442316
1642489200019.5999,0.346324,-0.094782
1642489200020.0,-0.283356,0.284346
1642489200020.4001,0.661164,0.221158
1642489200020.8,0.503744,0.0
1642489200021.2,-0.377808,0.347534
1642489200021.6,-0.503744,-0.758256
