nr,name_de,name_en,typ1,typ2,region,generation,entwicklungsstufe,entwickelt_aus_de,entwickelt_aus_en,hp,angriff,verteidigung,spezial_angriff,spezial_verteidigung,initiative,sprite_url,sprite_bulbapedia
1,Bisasam,Bulbasaur,Pflanze,Gift,Kanto,I,0,,,45,49,49,65,65,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/1.png,https://archives.bulbagarden.net/media/upload/f/fb/0001Bulbasaur.png
2,Bisaknosp,Ivysaur,Pflanze,Gift,Kanto,I,1,,bulbasaur,60,62,63,80,80,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/2.png,https://archives.bulbagarden.net/media/upload/8/81/0002Ivysaur.png
3,Bisaflor,Venusaur,Pflanze,Gift,Kanto,I,2,,ivysaur,80,82,83,100,100,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/3.png,https://archives.bulbagarden.net/media/upload/6/6b/0003Venusaur.png
4,Glumanda,Charmander,Feuer,,Kanto,I,0,,,39,52,43,60,50,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/4.png,https://archives.bulbagarden.net/media/upload/2/27/0004Charmander.png
5,Glutexo,Charmeleon,Feuer,,Kanto,I,1,,charmander,58,64,58,80,65,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/5.png,https://archives.bulbagarden.net/media/upload/0/05/0005Charmeleon.png
6,Glurak,Charizard,Feuer,Flug,Kanto,I,2,,charmeleon,78,84,78,109,85,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/6.png,https://archives.bulbagarden.net/media/upload/3/38/0006Charizard.png
7,Schiggy,Squirtle,Wasser,,Kanto,I,0,,,44,48,65,50,64,43,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/7.png,https://archives.bulbagarden.net/media/upload/5/54/0007Squirtle.png
8,Schillok,Wartortle,Wasser,,Kanto,I,1,,squirtle,59,63,80,65,80,58,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/8.png,https://archives.bulbagarden.net/media/upload/0/0f/0008Wartortle.png
9,Turtok,Blastoise,Wasser,,Kanto,I,2,,wartortle,79,83,100,85,105,78,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/9.png,https://archives.bulbagarden.net/media/upload/0/0a/0009Blastoise.png
10,Raupy,Caterpie,Käfer,,Kanto,I,0,,,45,30,35,20,20,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10.png,https://archives.bulbagarden.net/media/upload/5/5e/0010Caterpie.png
11,Safcon,Metapod,Käfer,,Kanto,I,1,,caterpie,50,20,55,25,25,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/11.png,https://archives.bulbagarden.net/media/upload/d/da/0011Metapod.png
12,Smettbo,Butterfree,Käfer,Flug,Kanto,I,2,,metapod,60,45,50,90,80,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/12.png,https://archives.bulbagarden.net/media/upload/5/55/0012Butterfree.png
13,Hornliu,Weedle,Käfer,Gift,Kanto,I,0,,,40,35,30,20,20,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/13.png,https://archives.bulbagarden.net/media/upload/3/36/0013Weedle.png
14,Kokuna,Kakuna,Käfer,Gift,Kanto,I,1,,weedle,45,25,50,25,25,35,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/14.png,https://archives.bulbagarden.net/media/upload/f/f3/0014Kakuna.png
15,Bibor,Beedrill,Käfer,Gift,Kanto,I,2,,kakuna,65,90,40,45,80,75,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/15.png,https://archives.bulbagarden.net/media/upload/f/f7/0015Beedrill.png
16,Taubsi,Pidgey,Normal,Flug,Kanto,I,0,,,40,45,40,35,35,56,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/16.png,https://archives.bulbagarden.net/media/upload/0/0c/0016Pidgey.png
17,Tauboga,Pidgeotto,Normal,Flug,Kanto,I,1,,pidgey,63,60,55,50,50,71,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/17.png,https://archives.bulbagarden.net/media/upload/8/82/0017Pidgeotto.png
